Date,Product,Category,Region,Sales,Quantity,Profit,Discount
2023-05-23,Widget C,Electronics,North,4818.27,15,999.88,0.06
2023-05-24,Widget B,Clothing,West,1106.56,32,304.68,0.1
2023-05-25,Widget A,Home Appliances,East,2896.44,37,559.51,0.03
2023-05-26,Widget E,Home Appliances,West,4978.26,41,1047.53,0.13
2023-05-27,Widget B,Clothing,North,2929.87,2,763.7,0.16
2023-05-28,Widget E,Home Appliances,South,4277.21,50,831.85,0.03
2023-05-29,Widget E,Electronics,East,4477.55,7,874.44,0.24
2023-05-30,Widget A,Clothing,East,2106.59,25,466.54,0.23
2023-05-31,Widget A,Home Appliances,West,1689.52,20,395.39,0.24
2023-06-01,Widget A,Clothing,South,588.03,23,80.64,0.13
2023-06-02,Widget A,Home Appliances,West,850.29,23,149.34,0.24
2023-06-03,Widget C,Clothing,North,4583.23,13,926.58,0.25
2023-06-04,Widget A,Electronics,North,1858.93,8,352.94,0.22
2023-06-05,Widget D,Electronics,West,3908.38,26,912.03,0.08
2023-06-06,Widget D,Electronics,North,553.21,21,140.53,0.1
2023-06-07,Widget C,Clothing,North,1261.08,37,194.12,0.23
2023-06-08,Widget C,Home Appliances,East,600.5,18,89.31,0.03
2023-06-09,Widget B,Home Appliances,South,4356.48,28,1211.86,0.01
2023-06-10,Widget A,Electronics,North,4769.36,9,620.27,0.11
2023-06-11,Widget B,Electronics,North,3892.57,34,457.93,0.17
2023-06-12,Widget E,Home Appliances,North,3441.31,9,654.06,0.08
2023-06-13,Widget C,Clothing,East,1124.17,24,262.51,0.05
2023-06-14,Widget E,Clothing,North,2768.05,21,764.8,0.06
2023-06-15,Widget E,Clothing,South,144.26,38,19.03,0.03
2023-06-16,Widget D,Clothing,East,1914.08,32,477.15,0.19
2023-06-17,Widget D,Clothing,South,3538.88,7,860.07,0.24
2023-06-18,Widget A,Home Appliances,West,3037.19,8,782.32,0.12
2023-06-19,Widget E,Home Appliances,West,993.58,29,226.91,0.16
2023-06-20,Widget D,Home Appliances,North,4856.78,20,1082.38,0.17
2023-06-21,Widget C,Clothing,East,1668.55,2,396.08,0.15
2023-06-22,Widget B,Home Appliances,West,1816.21,41,198.81,0.13
2023-06-23,Widget B,Clothing,East,952.14,21,222.7,0.04
2023-06-24,Widget B,Electronics,West,3920.76,24,560.35,0.14
2023-06-25,Widget E,Home Appliances,West,601.3,3,138.43,0.1
2023-06-26,Widget B,Home Appliances,North,637.96,34,109.96,0.05
2023-06-27,Widget D,Home Appliances,South,3348.76,36,1003.44,0.01
2023-06-28,Widget A,Clothing,West,231.9,16,52.74,0.06
2023-06-29,Widget D,Clothing,West,2527.07,43,417.26,0.23
2023-06-30,Widget D,Electronics,South,1813.96,29,194.23,0.13
2023-07-01,Widget C,Clothing,South,4414.4,7,1065.55,0.04
2023-07-02,Widget E,Clothing,East,4759.78,3,846.4,0.2
2023-07-03,Widget E,Clothing,East,1844.03,45,314.86,0.05
2023-07-04,Widget C,Clothing,North,4099.51,2,699.09,0.24
2023-07-05,Widget A,Clothing,East,1030.07,41,191.94,0.25
2023-07-06,Widget A,Clothing,South,2101.23,31,625.63,0.14
2023-07-07,Widget D,Home Appliances,South,4915.63,22,1408.31,0.19
2023-07-08,Widget D,Electronics,North,2528.38,36,505.93,0.18
2023-07-09,Widget C,Electronics,East,3230.33,46,831.46,0.11
2023-07-10,Widget B,Clothing,West,3477.68,20,469.02,0.01
2023-07-11,Widget A,Electronics,South,4753.36,48,497.06,0.14
2023-07-12,Widget A,Home Appliances,West,1392.2,12,308.22,0.05
2023-07-13,Widget B,Home Appliances,North,365.33,38,103.22,0.16
2023-07-14,Widget B,Electronics,West,4554.72,27,1264.31,0.03
2023-07-15,Widget A,Home Appliances,South,983.23,37,109.67,0.19
2023-07-16,Widget B,Clothing,North,1209.21,20,191.21,0.13
2023-07-17,Widget B,Electronics,South,4304.21,42,817.79,0.22
2023-07-18,Widget A,Clothing,West,338.2,1,33.91,0.03
2023-07-19,Widget C,Electronics,South,4791.4,47,1232.52,0.07
2023-07-20,Widget B,Clothing,North,3728.23,10,797.84,0.06
2023-07-21,Widget E,Home Appliances,North,419.96,16,115.19,0.15
2023-07-22,Widget A,Home Appliances,West,2589.43,29,460.72,0.12
2023-07-23,Widget C,Home Appliances,North,1350.11,19,394.39,0.2
2023-07-24,Widget B,Clothing,East,4689.39,5,636.42,0.02
2023-07-25,Widget A,Home Appliances,North,1616.36,37,199.31,0.23
2023-07-26,Widget D,Electronics,North,891.47,24,216.94,0.01
2023-07-27,Widget D,Clothing,West,2208.68,42,490.25,0.23
2023-07-28,Widget D,Electronics,West,4468.77,43,1165.21,0.14
2023-07-29,Widget B,Clothing,South,850.53,6,102.86,0.2
2023-07-30,Widget C,Clothing,South,783.87,49,126.73,0.07
2023-07-31,Widget A,Clothing,West,1506.31,41,406.94,0.04
2023-08-01,Widget D,Home Appliances,West,3975.15,20,486.31,0.25
2023-08-02,Widget D,Home Appliances,North,3933.19,5,1052.69,0.04
2023-08-03,Widget B,Electronics,North,1379.16,6,278.45,0.0
2023-08-04,Widget A,Home Appliances,North,125.75,5,30.65,0.01
2023-08-05,Widget B,Electronics,South,2965.06,11,722.98,0.19
2023-08-06,Widget C,Home Appliances,North,3628.89,28,646.18,0.11
2023-08-07,Widget D,Home Appliances,East,1714.86,47,270.04,0.17
2023-08-08,Widget C,Electronics,South,697.45,33,112.26,0.1
2023-08-09,Widget C,Electronics,West,1869.91,8,203.31,0.03
2023-08-10,Widget B,Home Appliances,East,186.8,26,41.69,0.21
2023-08-11,Widget E,Electronics,South,2582.08,2,287.52,0.25
2023-08-12,Widget A,Electronics,East,1159.49,2,228.16,0.12
2023-08-13,Widget A,Home Appliances,West,1051.53,17,311.14,0.01
2023-08-14,Widget A,Home Appliances,West,2428.06,5,373.13,0.12
2023-08-15,Widget E,Clothing,South,2213.6,16,602.99,0.09
2023-08-16,Widget E,Home Appliances,West,2164.81,41,292.02,0.13
2023-08-17,Widget E,Electronics,East,809.34,50,237.72,0.23
2023-08-18,Widget B,Electronics,South,1491.54,38,283.11,0.11
2023-08-19,Widget A,Clothing,North,2592.29,48,389.17,0.21
2023-08-20,Widget A,Electronics,North,1090.72,9,202.29,0.1
2023-08-21,Widget D,Clothing,South,4856.47,32,770.58,0.11
2023-08-22,Widget B,Clothing,North,3551.63,39,931.98,0.18
2023-08-23,Widget B,Clothing,South,1720.21,7,232.61,0.02
2023-08-24,Widget E,Home Appliances,North,2275.56,19,584.18,0.04
2023-08-25,Widget E,Home Appliances,North,3640.75,30,1035.2,0.07
2023-08-26,Widget C,Home Appliances,West,3857.35,14,888.85,0.19
2023-08-27,Widget A,Clothing,North,236.22,36,52.56,0.18
2023-08-28,Widget B,Clothing,South,1821.11,30,268.72,0.23
2023-08-29,Widget E,Home Appliances,South,2451.48,40,572.78,0.25
2023-08-30,Widget E,Clothing,North,480.94,41,135.6,0.11
2023-08-31,Widget A,Clothing,North,988.72,49,143.17,0.02
2023-09-01,Widget E,Electronics,East,2537.37,3,349.58,0.2
2023-09-02,Widget D,Home Appliances,West,2658.79,49,713.49,0.16
2023-09-03,Widget D,Home Appliances,West,3983.41,1,712.26,0.17
2023-09-04,Widget C,Home Appliances,South,2722.83,30,784.42,0.04
2023-09-05,Widget C,Clothing,South,1945.98,49,351.85,0.04
2023-09-06,Widget B,Electronics,North,3727.04,6,667.27,0.16
2023-09-07,Widget B,Clothing,West,2594.22,48,579.42,0.18
2023-09-08,Widget E,Electronics,West,4519.63,43,1117.11,0.01
2023-09-09,Widget D,Home Appliances,East,2456.9,33,371.27,0.21
2023-09-10,Widget A,Clothing,North,4299.41,18,461.12,0.13
2023-09-11,Widget A,Clothing,South,1136.61,1,188.02,0.18
2023-09-12,Widget C,Clothing,West,1965.94,6,285.47,0.05
2023-09-13,Widget A,Electronics,North,4824.25,42,548.38,0.18
2023-09-14,Widget C,Electronics,South,1978.19,38,471.43,0.0
2023-09-15,Widget E,Electronics,West,3339.06,39,860.35,0.03
2023-09-16,Widget A,Electronics,West,2473.94,16,389.83,0.02
2023-09-17,Widget D,Electronics,South,3166.27,14,678.3,0.01
2023-09-18,Widget B,Clothing,West,2726.44,33,558.0,0.13
2023-09-19,Widget E,Electronics,North,1512.88,40,349.14,0.17
2023-09-20,Widget C,Electronics,South,3231.68,48,677.82,0.21
2023-09-21,Widget C,Electronics,North,2402.79,32,591.9,0.02
2023-09-22,Widget C,Electronics,South,3195.42,30,553.64,0.01
2023-09-23,Widget D,Home Appliances,South,1955.15,25,580.95,0.12
2023-09-24,Widget D,Electronics,West,2801.48,48,590.69,0.15
2023-09-25,Widget E,Electronics,West,4104.97,30,636.72,0.2
2023-09-26,Widget D,Electronics,North,4990.45,21,1234.66,0.04
2023-09-27,Widget E,Clothing,South,2437.21,32,297.96,0.11
2023-09-28,Widget B,Home Appliances,East,2183.92,30,543.87,0.01
2023-09-29,Widget C,Home Appliances,South,4719.9,10,647.31,0.03
2023-09-30,Widget E,Electronics,West,4984.9,13,616.58,0.17
2023-10-01,Widget A,Clothing,West,3953.65,45,742.92,0.16
2023-10-02,Widget A,Clothing,East,4025.63,28,927.03,0.09
2023-10-03,Widget B,Electronics,North,3916.08,43,1021.7,0.08
2023-10-04,Widget E,Electronics,North,243.04,8,24.5,0.18
2023-10-05,Widget B,Electronics,North,4697.79,6,1108.42,0.08
2023-10-06,Widget A,Electronics,North,1324.06,32,206.48,0.03
2023-10-07,Widget C,Electronics,West,484.3,45,70.37,0.21
2023-10-08,Widget C,Home Appliances,South,3771.24,31,938.16,0.15
2023-10-09,Widget A,Home Appliances,East,1733.72,42,253.15,0.23
2023-10-10,Widget C,Clothing,East,1782.93,13,471.91,0.1
2023-10-11,Widget D,Electronics,East,3500.98,29,948.58,0.18
2023-10-12,Widget D,Home Appliances,North,4760.41,18,488.28,0.07
2023-10-13,Widget D,Clothing,East,1809.26,3,310.17,0.1
2023-10-14,Widget A,Home Appliances,East,3093.33,44,866.66,0.04
2023-10-15,Widget D,Clothing,East,1081.84,27,248.02,0.15
2023-10-16,Widget E,Home Appliances,West,3858.12,32,622.91,0.08
2023-10-17,Widget C,Electronics,West,4632.72,31,1363.84,0.19
2023-10-18,Widget E,Home Appliances,South,1124.82,43,279.24,0.02
2023-10-19,Widget B,Electronics,North,400.41,6,99.83,0.16
2023-10-20,Widget B,Home Appliances,West,4625.5,8,1254.47,0.04
2023-10-21,Widget A,Electronics,East,473.23,45,109.35,0.13
2023-10-22,Widget A,Home Appliances,South,110.46,4,20.37,0.17
2023-10-23,Widget A,Electronics,South,2968.58,16,873.26,0.19
2023-10-24,Widget B,Home Appliances,North,323.86,46,70.74,0.19
2023-10-25,Widget C,Electronics,South,4688.74,12,1403.83,0.01
2023-10-26,Widget C,Clothing,East,167.27,21,37.35,0.21
2023-10-27,Widget E,Clothing,North,4311.16,29,637.77,0.13
2023-10-28,Widget A,Clothing,North,1859.42,24,449.97,0.02
2023-10-29,Widget D,Electronics,West,2066.86,19,343.2,0.2
2023-10-30,Widget B,Clothing,North,2729.57,29,484.0,0.17
2023-10-31,Widget D,Electronics,South,2156.97,50,382.28,0.17
2023-11-01,Widget E,Electronics,East,2915.23,48,823.91,0.25
2023-11-02,Widget D,Electronics,West,246.78,6,51.35,0.02
2023-11-03,Widget A,Home Appliances,North,1193.31,31,256.39,0.19
2023-11-04,Widget E,Electronics,North,4617.72,32,713.55,0.04
2023-11-05,Widget B,Clothing,North,4615.13,17,587.97,0.23
2023-11-06,Widget A,Electronics,North,2018.16,15,413.55,0.14
2023-11-07,Widget C,Home Appliances,East,4172.8,5,534.26,0.06
2023-11-08,Widget E,Electronics,South,4623.31,27,1272.96,0.13
2023-11-09,Widget A,Electronics,West,4159.06,39,943.33,0.17
2023-11-10,Widget E,Clothing,South,1372.82,19,398.32,0.06
2023-11-11,Widget B,Clothing,South,3863.86,41,392.52,0.08
2023-11-12,Widget C,Clothing,West,2529.02,32,331.65,0.18
2023-11-13,Widget E,Clothing,West,1127.21,12,310.72,0.11
2023-11-14,Widget C,Clothing,South,950.48,26,229.87,0.08
2023-11-15,Widget C,Electronics,East,2611.87,17,473.73,0.1
2023-11-16,Widget C,Electronics,South,1208.01,35,325.07,0.23
2023-11-17,Widget B,Home Appliances,East,4483.87,46,976.79,0.02
2023-11-18,Widget B,Home Appliances,North,3332.53,42,966.88,0.23
2023-11-19,Widget B,Home Appliances,East,2274.38,17,471.46,0.16
2023-11-20,Widget E,Electronics,West,249.64,43,51.96,0.18
2023-11-21,Widget D,Clothing,North,3059.82,20,559.44,0.1
2023-11-22,Widget A,Clothing,South,1438.54,18,409.65,0.15
2023-11-23,Widget C,Electronics,North,912.24,47,110.3,0.0
2023-11-24,Widget E,Electronics,East,312.99,19,90.55,0.18
2023-11-25,Widget E,Electronics,South,4411.39,49,811.57,0.19
2023-11-26,Widget B,Electronics,South,349.4,6,43.62,0.14
2023-11-27,Widget A,Clothing,South,4458.02,8,598.33,0.07
2023-11-28,Widget E,Home Appliances,North,598.29,25,139.4,0.22
2023-11-29,Widget A,Home Appliances,North,395.41,26,45.03,0.05
2023-11-30,Widget A,Electronics,South,2685.99,14,306.24,0.13
2023-12-01,Widget E,Home Appliances,West,782.85,20,201.41,0.19
2023-12-02,Widget B,Clothing,North,3104.93,7,713.6,0.24
2023-12-03,Widget A,Clothing,West,4617.92,31,738.69,0.19
2023-12-04,Widget A,Electronics,South,146.35,34,38.3,0.01
2023-12-05,Widget E,Electronics,West,3274.61,1,472.55,0.22
2023-12-06,Widget E,Electronics,East,4082.79,27,490.26,0.1
2023-12-07,Widget A,Clothing,West,2865.73,42,344.26,0.19
2023-12-08,Widget C,Electronics,West,3658.01,10,446.51,0.03
2023-12-09,Widget B,Clothing,South,2599.66,38,548.35,0.17
2023-12-10,Widget E,Electronics,East,1508.43,46,293.43,0.15
2023-12-11,Widget C,Clothing,North,3263.93,39,713.25,0.21
2023-12-12,Widget B,Home Appliances,West,874.11,35,87.59,0.12
2023-12-13,Widget D,Clothing,North,4628.12,33,577.43,0.17
2023-12-14,Widget B,Home Appliances,West,4408.91,3,1273.15,0.08
2023-12-15,Widget D,Electronics,North,4610.25,46,852.49,0.07
2023-12-16,Widget B,Home Appliances,North,198.76,42,32.9,0.17
2023-12-17,Widget A,Clothing,East,2952.36,27,375.18,0.12
2023-12-18,Widget E,Clothing,East,1477.23,30,163.22,0.09
2023-12-19,Widget D,Electronics,East,1146.73,9,143.4,0.15
2023-12-20,Widget A,Home Appliances,North,3494.72,7,535.04,0.15
2023-12-21,Widget B,Home Appliances,North,2589.74,10,741.12,0.08
2023-12-22,Widget C,Clothing,West,1545.68,30,232.18,0.13
2023-12-23,Widget D,Clothing,South,3103.95,24,324.93,0.07
2023-12-24,Widget E,Electronics,East,4998.84,10,727.09,0.09
2023-12-25,Widget B,Electronics,West,4949.44,35,1220.64,0.19
2023-12-26,Widget B,Home Appliances,East,555.5,22,87.12,0.17
2023-12-27,Widget D,Clothing,South,4491.76,48,746.72,0.03
2023-12-28,Widget D,Home Appliances,East,2355.37,37,483.69,0.16
2023-12-29,Widget B,Home Appliances,North,3037.52,41,336.01,0.1
2023-12-30,Widget D,Clothing,East,2784.03,36,404.17,0.18
2023-12-31,Widget D,Home Appliances,West,3836.2,8,900.55,0.12
2023-01-01,Widget C,Electronics,East,1810.75,9,494.64,0.01
2023-01-02,Widget D,Clothing,East,1189.71,25,342.97,0.15
2023-01-03,Widget D,Electronics,West,432.98,24,67.15,0.14
2023-01-04,Widget A,Electronics,North,349.7,31,88.53,0.14
2023-01-05,Widget C,Electronics,North,3375.93,15,500.27,0.02
2023-01-06,Widget A,Electronics,North,451.56,29,122.32,0.04
2023-01-07,Widget B,Electronics,East,3535.19,3,402.2,0.24
2023-01-08,Widget A,Clothing,South,993.16,15,203.77,0.18
2023-01-09,Widget A,Home Appliances,West,880.76,40,225.51,0.09
2023-01-10,Widget E,Clothing,North,4584.05,23,769.2,0.08
2023-01-11,Widget A,Electronics,North,145.39,19,28.62,0.09
2023-01-12,Widget B,Electronics,West,2376.09,34,655.13,0.19
2023-01-13,Widget B,Electronics,East,2404.15,19,658.86,0.15
2023-01-14,Widget C,Clothing,North,899.79,41,239.01,0.21
2023-01-15,Widget C,Home Appliances,West,3015.8,39,513.43,0.11
2023-01-16,Widget D,Electronics,South,2058.35,44,219.99,0.06
2023-01-17,Widget B,Home Appliances,East,4986.99,26,669.27,0.05
2023-01-18,Widget A,Electronics,West,2098.08,15,393.29,0.16
2023-01-19,Widget E,Home Appliances,East,148.26,7,36.32,0.21
2023-01-20,Widget B,Home Appliances,East,1769.32,13,307.71,0.01
2023-01-21,Widget E,Electronics,West,1889.98,36,350.19,0.13
2023-01-22,Widget C,Clothing,East,3711.02,10,640.67,0.06
2023-01-23,Widget A,Clothing,North,3497.66,39,506.45,0.09
2023-01-24,Widget C,Home Appliances,South,1273.7,37,308.67,0.01
2023-01-25,Widget E,Electronics,North,2721.57,15,494.34,0.21
2023-01-26,Widget D,Electronics,East,1620.92,12,196.77,0.19
2023-01-27,Widget B,Home Appliances,West,3572.67,2,994.67,0.02
2023-01-28,Widget E,Clothing,North,2303.94,42,340.81,0.09
2023-01-29,Widget E,Electronics,North,646.68,27,186.62,0.17
2023-01-30,Widget A,Electronics,East,2503.52,1,745.83,0.2
2023-01-31,Widget E,Clothing,South,1618.34,5,226.38,0.02
2023-02-01,Widget B,Home Appliances,West,737.56,39,187.31,0.08
2023-02-02,Widget D,Electronics,North,4807.66,23,724.0,0.17
2023-02-03,Widget E,Home Appliances,North,3974.46,50,532.87,0.18
2023-02-04,Widget C,Electronics,North,3128.85,48,551.69,0.01
2023-02-05,Widget D,Electronics,West,2819.25,44,637.19,0.2
2023-02-06,Widget A,Electronics,West,4846.18,7,495.92,0.17
2023-02-07,Widget D,Clothing,South,3759.08,32,549.79,0.01
